"","genderFemale","genderMale","SeniorCitizen","PartnerNo","PartnerYes","DependentsNo","DependentsYes","tenure","PhoneServiceNo","PhoneServiceYes","MultipleLinesNo","MultipleLinesYes","InternetServiceDSL","InternetServiceFiber.optic","InternetServiceNo","OnlineSecurityNo","OnlineSecurityYes","OnlineBackupNo","OnlineBackupYes","DeviceProtectionNo","DeviceProtectionYes","TechSupportNo","TechSupportYes","StreamingTVNo","StreamingTVYes","StreamingMoviesNo","StreamingMoviesYes","ContractMonth.to.month","ContractOne.year","ContractTwo.year","PaperlessBillingNo","PaperlessBillingYes","PaymentMethodBank.transfer..automatic.","PaymentMethodCredit.card..automatic.","PaymentMethodElectronic.check","PaymentMethodMailed.check","MonthlyCharges","TotalCharges","ChurnNo","ChurnYes"
"1",1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.115422885572139,0.00127509808446801,1,0
"2",0,1,0,1,0,1,0,34,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.385074626865672,0.215866605123471,1,0
"3",0,1,0,1,0,1,0,2,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0.354228855721393,0.010310408492961,0,1
"4",0,1,0,1,0,1,0,45,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0.239303482587065,0.210241172397877,1,0
"5",1,0,0,1,0,1,0,2,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.521890547263682,0.0153300253865682,0,1
"6",1,0,0,1,0,1,0,8,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.809950248756219,0.0925109623817217,0,1
"7",0,1,0,1,0,0,1,22,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0.704975124378109,0.222778675282714,1,0
"8",1,0,0,1,0,1,0,10,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.114427860696517,0.0326678975305793,1,0
"9",1,0,0,0,1,1,0,28,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0.861194029850746,0.349324948072929,0,1
"10",0,1,0,1,0,0,1,62,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0.377114427860696,0.400317332102469,1,0
"11",0,1,0,0,1,0,1,13,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0.315422885572139,0.0656185091160859,1,0
"12",0,1,0,1,0,1,0,16,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0.00696517412935327,0.0355411954765751,1,0
"13",0,1,0,0,1,1,0,58,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0.816915422885572,0.653392568659128,1,0
"14",0,1,0,1,0,1,0,49,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0.850248756218905,0.578986845141934,0,1
"15",0,1,0,1,0,1,0,25,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0.868159203980099,0.307783291022386,1,0
"16",1,0,0,0,1,0,1,69,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0.945273631840796,0.908879529194553,1,0
"17",1,0,0,1,0,1,0,52,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.0238805970149254,0.115872374798061,1,0
