"","SeniorCitizen","PartnerYes","DependentsYes","tenure","InternetServiceDSL","InternetServiceFiber.optic","InternetServiceNo","OnlineSecurityNo","OnlineSecurityYes","OnlineBackupYes","DeviceProtectionYes","TechSupportYes","StreamingTVYes","StreamingMoviesYes","ContractMonth.to.month","ContractOne.year","ContractTwo.year","PaperlessBillingYes","PaymentMethodBank.transfer..automatic.","PaymentMethodCredit.card..automatic.","PaymentMethodElectronic.check","PaymentMethodMailed.check","MonthlyCharges","TotalCharges","ChurnYes"
"1",0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.115422885572139,0.00127509808446801,0
"2",0,0,0,34,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0.385074626865672,0.215866605123471,0
"3",0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0.354228855721393,0.010310408492961,1
"4",0,0,0,45,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0.239303482587065,0.210241172397877,0
"5",0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.521890547263682,0.0153300253865682,1
"6",0,0,0,8,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0.809950248756219,0.0925109623817217,1
"7",0,0,1,22,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0.704975124378109,0.222778675282714,0
"8",0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.114427860696517,0.0326678975305793,0
"9",0,1,0,28,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0.861194029850746,0.349324948072929,1
"10",0,0,1,62,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.377114427860696,0.400317332102469,0
"11",0,1,1,13,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.315422885572139,0.0656185091160859,0
