"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"1","Female",0,"Yes","No",1,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",0.115422885572139,0.00127509808446801,"No"
"2","Male",0,"No","No",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",0.385074626865672,0.215866605123471,"No"
"3","Male",0,"No","No",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",0.354228855721393,0.010310408492961,"Yes"
"4","Male",0,"No","No",45,"No","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",0.239303482587065,0.210241172397877,"No"
"5","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",0.521890547263682,0.0153300253865682,"Yes"
"6","Female",0,"No","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",0.809950248756219,0.0925109623817217,"Yes"
"7","Male",0,"No","Yes",22,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",0.704975124378109,0.222778675282714,"No"
"8","Female",0,"No","No",10,"No","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",0.114427860696517,0.0326678975305793,"No"
"9","Female",0,"Yes","No",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",0.861194029850746,0.349324948072929,"Yes"
"10","Male",0,"No","Yes",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",0.377114427860696,0.400317332102469,"No"
"11","Male",0,"Yes","Yes",13,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",0.315422885572139,0.0656185091160859,"No"
"12","Male",0,"No","No",16,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",0.00696517412935327,0.0355411954765751,"No"
"13","Male",0,"Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",0.816915422885572,0.653392568659128,"No"
"14","Male",0,"No","No",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",0.850248756218905,0.578986845141934,"Yes"
"15","Male",0,"No","No",25,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",0.868159203980099,0.307783291022386,"No"
"16","Female",0,"Yes","Yes",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",0.945273631840796,0.908879529194553,"No"
"17","Female",0,"No","No",52,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",0.0238805970149254,0.115872374798061,"No"
"18","Male",0,"No","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",0.880099502487562,0.849694207246711,"No"
"19","Female",0,"Yes","Yes",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",0.367661691542289,0.0587987537502885,"Yes"
"20","Female",0,"No","No",21,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",0.714427860696517,0.212797138241403,"No"
"21","Male",1,"No","No",1,"No","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",0.212935323383085,0.00240595430417724,"Yes"
"22","Male",0,"Yes","No",12,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",0.0154228855721393,0.0211689360720055,"No"
"23","Male",0,"No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",0.018905472636816,0.000155781213939512,"Yes"
