,gender,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,ChurnYes
1,Female,1,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Electronic check,0.115422886,0.001275098,0
2,Male,34,Yes,No,DSL,Yes,No,No,No,One year,Mailed check,0.385074627,0.215866605,0
3,Male,2,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,Mailed check,0.354228856,0.010310408,1
4,Male,45,No,No phone service,DSL,Yes,No,Yes,No,One year,Bank transfer (automatic),0.239303483,0.210241172,0
5,Female,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.521890547,0.015330025,1
6,Female,8,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.809950249,0.092510962,1
7,Male,22,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),0.704975124,0.222778675,0
8,Female,10,No,No phone service,DSL,Yes,No,No,No,Month-to-month,Mailed check,0.114427861,0.032667898,0
9,Female,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,0.86119403,0.349324948,1
10,Male,62,Yes,No,DSL,Yes,Yes,No,No,One year,Bank transfer (automatic),0.377114428,0.400317332,0
11,Male,13,Yes,No,DSL,Yes,No,No,No,Month-to-month,Mailed check,0.315422886,0.065618509,0
12,Male,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.006965174,0.035541195,0
13,Male,58,Yes,Yes,Fiber optic,No,No,No,Yes,One year,Credit card (automatic),0.816915423,0.653392569,0
14,Male,49,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Bank transfer (automatic),0.850248756,0.578986845,1
15,Male,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Electronic check,0.868159204,0.307783291,0
16,Female,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),0.945273632,0.908879529,0
17,Female,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.023880597,0.115872375,0
